C,mp,FA,CA,F,W_P,Adm,str
280.8,70.2,858,1183,0,0.45,0.61,21.56
372.15,0,975,525,52.85,0.493081,7,34
360,75,975,525,40,0.509722,7,28
364.3,0,975,525,110.4,0.503706,7,42
315,31.5,780,1110,0,0.37,5.355,25.82
334.9,59.1,707.2,1257.2,0,0.4,0.84,34.78
297.5,44.625,780,1110,0,0.39,4.46,27.5
374.3,0,975,525,50.4,0.490248,7,35
352.15,0,975,525,97.85,0.521085,7,27
364.3,75,975,525,35.4,0.503706,7,43
351,0,858,1183,0,0.45,0.35,24.32
374.3,0,975,525,125.4,0.490248,7,46
297.5,44.625,780,1110,0,0.37,3.8675,22.19
315,31.5,780,1110,0,0.35,4.73,25.6
344.3,100,975,525,55.4,0.532965,7,38
390,25,975,525,10,0.470513,7,30
344.3,0,975,525,105.4,0.532965,7,27
390,0,975,525,85,0.470513,7,38
374.3,50,975,525,25.4,0.490248,7,42
332.5,16.625,780,1110,0,0.37,4.3225,28.07
400,0,900,900,0,0.45,8,36
360,0,975,525,140,0.509722,7,28
422,0,689,1278,0,0.35,0.9,40
344.3,0,975,525,105.4,0.532965,7,28
600,0,817,817,0,0.3,8.3,61.8
380,0,975,525,70,0.482895,7,34
382.15,0,975,525,117.85,0.480178,7,46
360,25,975,525,40,0.509722,7,22
280,80,751.9,1000,0,0.45,1.825,56
354.3,0,975,525,70.4,0.517923,7,28
315,31.5,780,1110,0,0.37,4.095,26.27
334.9,59.1,707.2,1257.2,0,0.4,0.84,34.5
354.3,0,975,525,145.4,0.517923,7,40
362.15,0,975,525,112.85,0.506696,7,38
315,31.5,780,1110,0,0.37,4.73,30.992
297.5,44.625,780,1110,0,0.35,5.0575,25.84
280,56,780,1110,0,0.39,4.76,25.54
315,63,780,1110,0,0.37,4.73,38.6508
372.15,0,975,525,77.85,0.493081,7,37
362.15,0,975,525,87.85,0.506696,7,32
390,0,975,525,60,0.470513,7,35
370,0,975,525,55,0.495946,7,24
352.15,0,975,525,147.85,0.521085,7,33
310,80,768.8,1000,0,0.45,1.425,49
351,0,858,1183,0,0.45,0.35,24.5
422,0,689,1278,0,0.35,0.9,39.77
380,0,975,525,45,0.482895,7,28
344.3,0,975,525,80.4,0.532965,7,25
362.15,0,975,525,87.85,0.506696,7,35
354.3,25,975,525,45.4,0.517923,7,32
332.5,16.625,780,1110,0,0.37,4.98,24.69
382.15,0,975,525,42.85,0.480178,7,35
400,0,793,1000,0,0.45,1.3,52
332.5,16.625,780,1110,0,0.35,5.65,25.34
275,165,970,722,110,0.33,1.815,44
400,60,180,720,0,0.32,0,28
315,31.5,780,1110,0,0.37,4095,31.325
350,0,780,1110,0,0.35,5.95,29.59
315,31.5,780,1110,0,0.35,5.355,26.28
315.9,35.1,858,1183,0,0.45,0.45,24.5
315,31.5,780,1110,0,0.43,4.73,31.58988
315,31.5,780,1110,0,0.35,4.095,25.83
362.15,0,975,525,137.85,0.506696,7,38
500,185,369,847,140,0.28,4.48,53.98
263.25,87.75,858,1183,0,0.45,0.7,21.23
350,0,780,1110,0,0.39,4.55,28.95
332.5,16.625,780,1110,0,0.35,4.3225,28.79
358.7,63.3,689,1278,0,0.35,1.2,42.67
370,20,782.7,1000,0,0.45,1.45,57
390,75,975,525,10,0.470513,7,38
344.3,0,975,525,80.4,0.532965,7,25
298.35,52.65,858,1183,0,0.45,0.52,24.7
374.3,0,975,525,75.4,0.490248,7,41
382.15,0,975,525,117.85,0.480178,7,44
358.7,63.3,689,1278,0,0.35,1.2,43.5
372.15,0,975,525,77.85,0.493081,7,38
370,0,975,525,130,0.495946,7,33
364.3,0,975,525,135.4,0.503706,7,45
382.15,75,975,525,17.85,0.480178,7,44
357.5,165,970,722,27.5,0.33,3.575,44.8
382.15,0,975,525,67.85,0.480178,7,38
300,80,763.2,1000,0,0.45,1.475,50
337.6,84.4,689,1278,0,0.35,1.3,35.8
360,0,975,525,115,0.509722,7,28
374.3,0,975,525,125.4,0.490248,7,46
